,image,Text,confidenceOCR
341,images/Cropped Image342.jpg,MaRFRET,0.10377198017212501
342,images/Cropped Image343.jpg,Provence,0.17634930973643748
343,images/Cropped Image344.jpg,HarFREY,0.08730069468615875
344,images/Cropped Image345.jpg,MARFREY ,0.2344393762215374
345,images/Cropped Image347.jpg,no,0.6113956445464064
346,images/Cropped Image346.jpg,smokinG,0.49709448233123593
347,images/Cropped Image348.jpg,Loch Lomond,0.6777555997261312
348,images/Cropped Image349.jpg,Loch Lohond,0.6222325403448272
349,images/Cropped Image350.jpg,Loch Lohond,0.4090781928019342
350,images/Cropped Image353.jpg,SAFETY,0.8668241226880494
351,images/Cropped Image351.jpg,FIRST,0.9905542814181708
352,images/Cropped Image352.jpg,Iniuin,0.002526053632192754
353,images/Cropped Image354.jpg,nO,0.4811348999198245
354,images/Cropped Image355.jpg,smoking,0.566151712133594
355,images/Cropped Image356.jpg,cathy THERES,0.9130902507131401
356,images/Cropped Image357.jpg,nO,0.49610867523198304
357,images/Cropped Image358.jpg,smoking,0.6617332481352234
358,images/Cropped Image359.jpg,cathy THERESA,0.9213043085694484
359,images/Cropped Image362.jpg,SAFETY,0.9128708814710041
360,images/Cropped Image360.jpg,FIR ST,0.8183127442331933
361,images/Cropped Image361.jpg,Iiuic,0.017880275520320593
362,images/Cropped Image363.jpg,nO,0.3591686799286666
363,images/Cropped Image364.jpg,Smoking,0.3300294113461557
364,images/Cropped Image365.jpg,Atenna,0.0001776452016551185
365,images/Cropped Image367.jpg,DrEY,0.26582708954811096
366,images/Cropped Image366.jpg,AZAMARA,0.7191430669172794
367,images/Cropped Image369.jpg,Clue Cavisle,0.1199872369375304
368,images/Cropped Image368.jpg,E,0.7022904522528393
369,images/Cropped Image370.jpg,WFr,0.009674008283197465
370,images/Cropped Image373.jpg,Ie(,0.15651658655867948
371,images/Cropped Image372.jpg,Mek,0.06971656910154501
372,images/Cropped Image371.jpg,MEK,0.19743378000323683
373,images/Cropped Image374.jpg,MEK,0.1825046943375631
374,images/Cropped Image376.jpg,V,0.017240312793333823
375,images/Cropped Image377.jpg,MET,0.19661190559702255
376,images/Cropped Image375.jpg,WEk,0.10599037202976318
377,images/Cropped Image378.jpg,07,0.32882374935934183
378,images/Cropped Image379.jpg,WEC,0.9128902009560229
379,images/Cropped Image380.jpg,1,0.03877147418380944
380,images/Cropped Image384.jpg,W6,0.13880576455331312
381,images/Cropped Image383.jpg,15,0.37637595082500913
382,images/Cropped Image382.jpg,ME,0.14402233684236845
383,images/Cropped Image381.jpg,E,0.07770862527743194
