created_at,user_name,description,user_location,text,language,hashtags,media_url,place
2014-09-16 11:22:40+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK","NSB October lates from Italy-Australia, Italy-USA/Mexico, Italy-China #cargoshipvoyages #freightertravel #seatravel http://t.co/jpvskXWjyD",en,"['cargoshipvoyages', 'freightertravel', 'seatravel']",['https://pbs.twimg.com/media/BxppjjxIYAAMEfm.jpg'],
2014-08-30 16:06:54+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",Fremantle to Cape Town &amp; Tilbury dep.16/03/15 contact us for details! #cargoshipvoyages #freightertravel #seatravel http://t.co/CvAPSxH6bQ,en,"['cargoshipvoyages', 'freightertravel', 'seatravel']",['https://pbs.twimg.com/media/BwTHlMaIYAAi41j.jpg'],
2014-08-18 13:36:03+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",MV Astor UK to Aus small cruise ship alternative! 38 nights dep 05/11 BOGOF offer! #cargoshipvoyages #freightertravel http://t.co/clLEq6JlQJ,en,"['cargoshipvoyages', 'freightertravel']",['https://pbs.twimg.com/media/BvUx-oxCQAA3XRu.jpg'],
2014-07-14 19:53:10+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK","Quick! Cabin canx on MSC ILONA EUR/UK/USA ECoast. Double, dep. o/a 12 Aug! #freightertravel #freightervoyages #travel http://t.co/gTBxNWDcWz",en,"['freightertravel', 'freightervoyages', 'travel']",['https://pbs.twimg.com/media/Bsh4pZsIgAAokRB.jpg'],
2014-07-05 09:35:57+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",CMA CGM Tosca - Asia - East Coast South America - South Africa now taking pax #southamerica #freightertravel #travel http://t.co/znFT7apbZo,en,"['southamerica', 'freightertravel', 'travel']",['https://pbs.twimg.com/media/BrxVEiKIAAATp2R.png'],
2014-07-05 09:18:48+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",CMA CGM West Africa - Asia (ASAF) now taking passengers; contact us for details! #freightertravel #travel #westafrica http://t.co/vSGdBJfvqt,en,"['freightertravel', 'travel', 'westafrica']",['https://pbs.twimg.com/media/BrxRJPNCAAALIBB.png'],
2014-07-05 09:13:20+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",Grimaldi - West Africa - 20% per pax discount on selected roundtrips from Tilbury! #tilbury #freightertravel #travel http://t.co/sAD9xBo7sQ,en,"['tilbury', 'freightertravel', 'travel']",['https://pbs.twimg.com/media/BrxP5P1CUAAPfuh.jpg'],
2014-06-22 11:54:14+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK","Exclusive 6 day cruise along the Caledonian Canal, groups or individuals. #caledoniancanal #freightertravel #travel http://t.co/Yxq7MrX6a2",en,"['caledoniancanal', 'freightertravel', 'travel']",['https://pbs.twimg.com/media/Bqu4DRGCUAA-ujA.jpg'],
2014-06-20 12:09:08+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",NEW - N Europe to C America &amp;  W Coast South America 56 days roundtrip with passengers #travel #freightertravel http://t.co/rbnZMqYmM9,en,"['travel', 'freightertravel']",['https://pbs.twimg.com/media/BqkoSRGIQAEGS6l.png'],
2014-05-07 10:40:09+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK","CMA CGM now offers Europe to Peru &amp; Ecuador via Panama Canal, 56 days roundtrip with pax! #freightertravel #travel http://t.co/XOyMa5gDWk",en,"['freightertravel', 'travel']",['https://pbs.twimg.com/media/BnBt9rQIMAAuHZp.png'],
